fecha,hora,cantidad,otro1,otro2,otro3,otro4
26/07/2002,06:15:00.00,3718122.225,3.718122225,7.196686627,81.0400519,22825.42442
09/08/2002,03:25:00.00,3380695.988,3.380695988,5.620206349,80.17071825,21095.02311
14/08/2002,03:40:00.00,2766437.598,2.766437598,34.38647826,99.48362112,15264.33752
16/10/2002,06:00:00.00,11735239.49,11.73523949,21.24011675,98.87017512,28301.9434
13/11/2002,03:20:00.00,1724401.724,1.724401724,6.448921178,80.4098965,18248.28759
24/10/2003,06:15:00.00,5847584.613,5.847584613,21.2841187,81.85106203,25000
07/11/2003,03:30:00.00,4840196.631,4.840196631,8.823597756,97.87461538,15620.49935
14/02/2007,03:10:00.00,403674.425,0.403674425,31.72989887,82.30955384,2828.427125
27/08/2008,06:15:00.00,2841925.111,2.841925111,7.693977725,80.9329634,17088.00749
16/09/2008,05:50:00.00,5988387.892,5.988387892,42.52917904,99.78289083,20615.52813
17/12/2008,06:15:00.00,947115.1359,0.947115136,7.833107029,80.91495208,17262.6765
02/01/2009,03:10:00.00,350938.9876,0.350938988,31.94034606,82.31816229,1000
11/11/2009,06:10:00.00,1162094.915,1.162094915,7.3936,97.928924,17262.6765
20/10/2010,03:10:00.00,1529525.971,1.529525971,32.10836735,82.3460024,22360.67977
28/11/2010,03:15:00.00,1733974.731,1.733974731,19.82738842,81.66506849,18248.28759
08/12/2011,03:20:00.00,1117940.323,1.117940323,6.005375447,80.25388558,18248.28759
30/06/2012,02:50:00.00,1202395.088,1.202395088,56.87848881,83.76539179,26248.8095
18/10/2012,03:05:00.00,7802004.116,7.802004116,42.50945946,82.84993897,15811.3883
18/10/2012,06:10:00.00,43871648.52,43.87164852,7.088364579,97.88225369,17029.38637
10/08/2013,19:10:00.00,51116097.37,51.11609737,62.72808901,101.5403927,22360.67977
12/08/2013,03:40:00.00,3456088.751,3.456088751,33.89025215,99.46251538,17204.65053
01/09/2013,18:35:00.00,77107872.49,77.10787249,8.468824709,98.0869274,20248.45673
13/09/2013,03:40:00.00,1432964.041,1.432964041,34.08812963,99.46688272,17464.2492
23/09/2013,05:45:00.00,2472098.749,2.472098749,50.54560784,100.1777124,20248.45673
07/10/2013,02:50:00.00,17937878.32,17.93787832,56.887603,83.77161049,24596.74775
07/10/2013,18:10:00.00,16416139.37,16.41613937,42.00286695,82.84987983,21470.91055
08/10/2013,03:35:00.00,3063599.695,3.063599695,21.93422332,98.81006303,20591.26028
